Date,Bitcoin_price
"Apr 28, 2013",134.21
"Apr 29, 2013",144.54
"Apr 30, 2013",139
"May 01, 2013",116.99
"May 02, 2013",105.21
"May 03, 2013",97.75
"May 04, 2013",112.5
"May 05, 2013",115.91
"May 06, 2013",112.3
"May 07, 2013",111.5
"May 08, 2013",113.57
"May 09, 2013",112.67
"May 10, 2013",117.2
"May 11, 2013",115.24
"May 12, 2013",115
"May 13, 2013",117.98
"May 14, 2013",111.5
"May 15, 2013",114.22
"May 16, 2013",118.76
"May 17, 2013",123.02
"May 18, 2013",123.5
"May 19, 2013",121.99
"May 20, 2013",122
"May 21, 2013",122.88
"May 22, 2013",123.89
"May 23, 2013",126.7
"May 24, 2013",133.2
"May 25, 2013",131.98
"May 26, 2013",133.48
"May 27, 2013",129.75
"May 28, 2013",129
"May 29, 2013",132.3
"May 30, 2013",128.8
"May 31, 2013",129
"Jun 01, 2013",129.3
"Jun 02, 2013",122.29
"Jun 03, 2013",122.22
"Jun 04, 2013",121.42
"Jun 05, 2013",121.65
"Jun 06, 2013",118
"Jun 07, 2013",111.5
"Jun 08, 2013",108.3
"Jun 09, 2013",100
"Jun 10, 2013",106.35
"Jun 11, 2013",108.9
"Jun 12, 2013",108.15
"Jun 13, 2013",104
"Jun 14, 2013",99.98
"Jun 15, 2013",99.99
"Jun 16, 2013",99.51
"Jun 17, 2013",101.7
"Jun 18, 2013",107.4
"Jun 19, 2013",108.25
"Jun 20, 2013",110.15
"Jun 21, 2013",109.5
"Jun 22, 2013",108.3
"Jun 23, 2013",107.6
"Jun 24, 2013",102.74
"Jun 25, 2013",103.95
"Jun 26, 2013",104
"Jun 27, 2013",101.44
"Jun 28, 2013",94.65
"Jun 29, 2013",94.99
"Jun 30, 2013",96.61
"Jul 01, 2013",88.05
"Jul 02, 2013",90.13
"Jul 03, 2013",77.53
"Jul 04, 2013",80.53
"Jul 05, 2013",68.43
"Jul 06, 2013",70.28
"Jul 07, 2013",74.56
"Jul 08, 2013",76.52
"Jul 09, 2013",76.69
"Jul 10, 2013",86.76
"Jul 11, 2013",88.98
"Jul 12, 2013",93.59
"Jul 13, 2013",98.13
"Jul 14, 2013",94.69
"Jul 15, 2013",98.4
"Jul 16, 2013",97.45
"Jul 17, 2013",98.5
"Jul 18, 2013",90.58
"Jul 19, 2013",92.17
"Jul 20, 2013",89.39
"Jul 21, 2013",90.76
"Jul 22, 2013",91.61
"Jul 23, 2013",95.56
"Jul 24, 2013",94.51
"Jul 25, 2013",96.9
"Jul 26, 2013",96.02
"Jul 27, 2013",94.12
"Jul 28, 2013",99.76
"Jul 29, 2013",101.2
"Jul 30, 2013",107.99
"Jul 31, 2013",106.09
"Aug 01, 2013",104
"Aug 02, 2013",104.5
"Aug 03, 2013",104
"Aug 04, 2013",105.14
"Aug 05, 2013",106.22
"Aug 06, 2013",106.75
"Aug 07, 2013",106.75
"Aug 08, 2013",103
"Aug 09, 2013",102.8
"Aug 10, 2013",103
"Aug 11, 2013",105
"Aug 12, 2013",106.64
"Aug 13, 2013",109
"Aug 14, 2013",112.56
"Aug 15, 2013",109.99
"Aug 16, 2013",108.99
"Aug 17, 2013",113.5
"Aug 18, 2013",113.5
"Aug 19, 2013",119
"Aug 20, 2013",121.2
"Aug 21, 2013",123.3
"Aug 22, 2013",121.15
